ID,YEAR,MONTH,DOB,Gender,Marital_Status,Nbr_Children,Occupation,Home,Mo_Expenses,Mo_Income,Checking_Account,Savings_Account,Credit_limit,Account_Status,Mo_Balance
388,2007,12,01/08/1915,Female,Married,2,Professional,Rent,1444,4126,No,Yes,high,Balanced,2682
389,2007,12,13/03/1916,Male,Married,1,Professional,Own,1770,4424,No,Yes,low,Balanced,2654
390,2007,12,15/12/1913,Male,Married,1,Professional,Own,1515,3787,No,Yes,high,Balanced,2272
391,2007,12,21/06/1919,Male,Married,1,Manager,Own,848,3143,No,Yes,very low,Balanced,2295
392,2007,12,21/06/1926,Male,Married,2,Professional,Own,973,3605,No,Yes,mid-level,Balanced,2632
395,2007,12,28/08/1919,Male,Married,2,Professional,Own,845,3129,No,Yes,high,Balanced,2284
396,2007,12,10/08/1928,Female,Married,2,Administrative,Own,649,2162,No,Yes,low,Balanced,1513
397,2007,12,09/06/1918,Female,Married,2,Manager,Own,1042,2606,No,Yes,very low,Balanced,1564
398,2007,12,18/06/1929,Male,Single,1,Administrative,Own,1148,2869,No,Yes,high,Balanced,1721
400,2007,12,19/06/1929,Female,Married,2,Skilled,Own,825,2749,No,Yes,high,Balanced,1924
401,2007,12,19/08/1930,Male,Married,1,Professional,Own,744,1861,No,Yes,very low,Balanced,1117
402,2007,12,19/06/1913,Male,Widowed,1,Skilled,Own,501,1856,No,Yes,very low,Balanced,1355
404,2007,12,15/08/1919,Female,Married,1,Administrative,Own,750,1675,No,Yes,low,Balanced,925
406,2007,12,19/09/1918,Male,Married,2,Administrative,Own,474,1579,No,Yes,very low,Balanced,1105
407,2007,12,19/09/1919,Male,Married,1,Administrative,Own,543,1810,No,Yes,high,Balanced,1267
